protocol,window_size,loss_probability,ack_loss_probability,timeout,total_packets,repeats,k_mean,k_stdev,t_mean,t_stdev,overhead_mean,overhead_stdev,total_sent_mean,finished_ratio
GBN,1,0.0,0.0,0.05,500,10,1.0,0.0,1.7969809770584106,0.033183188404074304,0.0,0.0,500,1.0
GBN,1,0.05,0.0,0.05,500,10,0.949376192288897,0.00810627857897604,3.182523226737976,0.23843226266657472,5.34,0.8991106717195608,526.7,1.0
GBN,1,0.1,0.0,0.05,500,10,0.9017106052020376,0.011979073745362244,4.662114787101745,0.4061711911668747,10.92,1.4810806865258894,554.6,1.0
GBN,1,0.15,0.0,0.05,500,10,0.8542130997446705,0.01449869958615133,6.260245823860169,0.5006474316232816,17.1,1.956016359849784,585.5,1.0
GBN,1,0.2,0.0,0.05,500,10,0.804132397594155,0.01800364196782186,8.160334992408753,0.7289483663154844,24.42,2.786323742855449,622.1,1.0
GBN,1,0.25,0.0,0.05,500,10,0.75418692939099,0.016807317670495488,10.201448464393616,0.7526399725424451,32.66,3.001399673485688,663.3,1.0
GBN,1,0.3,0.0,0.05,500,10,0.7043598053832091,0.017480048958928348,12.649249505996703,0.9366438894485977,42.06,3.511182137115646,710.3,1.0
GBN,2,0.0,0.0,0.05,500,10,1.0,0.0,0.9371224880218506,0.024022494071204332,0.0,0.0,500,1.0
GBN,2,0.05,0.0,0.05,500,10,0.9061892812921406,0.018789414329392913,2.2372183322906496,0.302235943480437,10.4,2.3047776465420697,552,1.0
GBN,2,0.1,0.0,0.05,500,10,0.8101082309915394,0.023030769399517117,3.908981966972351,0.4327631049334989,23.54,3.507762819804099,617.7,1.0
GBN,2,0.15,0.0,0.05,500,10,0.7318597799810914,0.015511925536843179,5.549161386489868,0.3564159908306014,36.7,2.9165047574108294,683.5,1.0
GBN,2,0.2,0.0,0.05,500,10,0.6763238164770545,0.019343109864376592,6.973416566848755,0.5339679820255214,47.98,4.261877520530124,739.9,1.0
GBN,2,0.25,0.0,0.05,500,10,0.5963771510587287,0.02302607890609692,9.497178649902343,0.7905457975016339,67.92,6.247687572214219,839.6,1.0
GBN,2,0.3,0.0,0.05,500,10,0.5322342708311921,0.01975386699218219,12.047801971435547,0.9251340666511989,88.16,7.357608307051959,940.8,1.0
GBN,4,0.0,0.0,0.05,500,10,1.0,0.0,0.46073260307312014,0.006396014371304884,0.0,0.0,500,1.0
GBN,4,0.05,0.0,0.05,500,10,0.8299823457344122,0.020781748219114403,1.756143617630005,0.19090703408496976,20.56,3.017018395701293,602.8,1.0
GBN,4,0.1,0.0,0.05,500,10,0.701411259521401,0.02958563189525556,3.143685507774353,0.3837163539264825,42.82,5.941346648698425,714.1,1.0
GBN,4,0.15,0.0,0.05,500,10,0.5898606755868983,0.020570645446715132,4.840193486213684,0.39805014753872536,69.74,5.979999999999999,848.7,1.0
GBN,4,0.2,0.0,0.05,500,10,0.5035293052531007,0.023847019746499727,6.653169202804565,0.6179438988771194,99.06,9.76239724657832,995.3,1.0
GBN,4,0.25,0.0,0.05,500,10,0.4321253211550995,0.02315916060426675,8.743122792243957,0.785549220341431,132.08,12.438392179055946,1160.4,1.0
GBN,4,0.3,0.0,0.05,500,10,0.3755455444131498,0.020758617145834792,10.945611810684204,0.8471981698573697,167.02,13.425185287361963,1335.1,1.0
GBN,8,0.0,0.0,0.05,500,10,1.0,0.0,0.23911843299865723,0.011809578404644406,0.0,0.0,500,1.0
GBN,8,0.05,0.0,0.05,500,10,0.698045326753445,0.03224985475458019,1.5970181941986084,0.19615259663928894,43.56,6.5640231565709755,717.8,1.0
GBN,8,0.1,0.0,0.05,500,10,0.5456233603052584,0.04203378870597742,2.863686180114746,0.43829788164233413,84.34,13.866520832566476,921.7,1.0
GBN,8,0.15,0.0,0.05,500,10,0.4121517166996453,0.02146776559345049,4.723476576805115,0.36379247009280463,143.26,12.127011173409548,1216.3,1.0
GBN,8,0.2,0.0,0.05,500,10,0.3325626618787701,0.01770181817132461,6.547737646102905,0.5283368651671265,201.56,16.26475945103401,1507.8,1.0
GBN,8,0.25,0.0,0.05,500,10,0.2768859614466108,0.012056968318185908,8.485938167572021,0.5081725121549393,261.86,16.106657008827128,1809.3,1.0
GBN,8,0.3,0.0,0.05,500,10,0.22403422687556965,0.01287413929761416,11.213675713539123,0.8124484737898494,347.8,25.102191139420487,2239,1.0
SR,1,0.0,0.0,0.05,500,10,1.0,0.0,1.8720647811889648,0.0383029908955124,0.0,0.0,500,1.0
SR,1,0.05,0.0,0.05,500,10,0.9529814318876856,0.007291972528438258,3.133156394958496,0.2152710373317485,4.94,0.8052328855678957,524.7,1.0
SR,1,0.1,0.0,0.05,500,10,0.9022573877267759,0.0071297684451509845,4.643591785430909,0.1923627949709838,10.84,0.8708616422830898,554.2,1.0
SR,1,0.15,0.0,0.05,500,10,0.8515575347629298,0.01323997193238847,6.331388688087463,0.4654897081396665,17.46,1.8089776118017602,587.3,1.0
SR,1,0.2,0.0,0.05,500,10,0.7909361270152072,0.020628235706749768,8.660420131683349,0.850061780719592,26.52,3.3576182034293303,632.6,1.0
SR,1,0.25,0.0,0.05,500,10,0.7531926568804401,0.01168202777171407,10.256985545158386,0.527773322374436,32.8,2.0532900428336958,664,1.0
SR,1,0.3,0.0,0.05,500,10,0.7011093970150784,0.015430911633178002,12.788017988204956,0.8039056185838759,42.7,3.132091952673164,713.5,1.0
SR,2,0.0,0.0,0.05,500,10,1.0,0.0,0.9374162912368774,0.032687546282264626,0.0,0.0,500,1.0
SR,2,0.05,0.0,0.05,500,10,0.9457931406651988,0.008512851567679669,2.331907796859741,0.20504240788219866,5.74,0.9593747964169165,528.7,1.0
SR,2,0.1,0.0,0.05,500,10,0.9023018906133567,0.009559603555171917,3.432675862312317,0.2937095848860039,10.84,1.1655041827466772,554.2,1.0
SR,2,0.15,0.0,0.05,500,10,0.8485136371221581,0.012784751224344004,4.888109087944031,0.38275473133977195,17.88,1.782582396412576,589.4,1.0
SR,2,0.2,0.0,0.05,500,10,0.7993809048687849,0.014772028695841707,6.442965316772461,0.4812748789549913,25.14,2.3376056125873763,625.7,1.0
SR,2,0.25,0.0,0.05,500,10,0.7490416314747173,0.023805795941435167,8.046956110000611,0.738388906402903,33.64,4.283736686585672,668.2,1.0
SR,2,0.3,0.0,0.05,500,10,0.7090410181081339,0.01906581277097383,9.525294160842895,0.6889544246135245,41.14,3.8854086014214775,705.7,1.0
SR,4,0.0,0.0,0.05,500,10,1.0,0.0,0.4749974012374878,0.02470655357170184,0.0,0.0,500,1.0
SR,4,0.05,0.0,0.05,500,10,0.9562807525856154,0.00845769906976231,1.4903711795806884,0.14820099476776824,4.58,0.9271461589199408,522.9,1.0
SR,4,0.1,0.0,0.05,500,10,0.9029916173810846,0.016407920346727643,2.546825313568115,0.22025577688172018,10.78,2.0365657367244494,553.9,1.0
SR,4,0.15,0.0,0.05,500,10,0.8540624565685386,0.008849231398229964,3.6332425832748414,0.26869167943043193,17.1,1.2107848694132246,585.5,1.0
SR,4,0.2,0.0,0.05,500,10,0.7983331443389873,0.017262275086983726,4.718640875816345,0.3757046716900404,25.32,2.7293955374771173,626.6,1.0
SR,4,0.25,0.0,0.05,500,10,0.7554453981382746,0.014358396123711483,5.751296901702881,0.3265059897987047,32.42,2.5130857526156962,662.1,1.0
SR,4,0.3,0.0,0.05,500,10,0.7101010354418744,0.016292576304753906,6.897054767608642,0.6931055728248879,40.9,3.268332908380051,704.5,1.0
SR,8,0.0,0.0,0.05,500,10,1.0,0.0,0.23606836795806885,0.0036264371315934264,0.0,0.0,500,1.0
SR,8,0.05,0.0,0.05,500,10,0.950560790569689,0.012747772754263796,1.2138771057128905,0.18756312307559345,5.22,1.4126570709128243,526.1,1.0
SR,8,0.1,0.0,0.05,500,10,0.9012066210302567,0.01657756162954196,1.980913805961609,0.21742752597541062,11.0,2.0474374227311567,555,1.0
SR,8,0.15,0.0,0.05,500,10,0.8527276164201718,0.02065779208927257,2.6405271530151366,0.3279163369084868,17.34,2.8594405047141653,586.7,1.0
